Rank,Player,Position,Team,Katz Rank,Soppe Rank,Average
1,Bijan Robinson,RB,ATL,2,1,1
2,Jahmyr Gibbs,RB,DET,1,2,2
3,Ja'Marr Chase,WR,CIN,3,3,3
4,Ashton Jeanty,RB,LV,5,5,4
5,Puka Nacua,WR,LAR,6,6,5
6,James Cook III,RB,BUF,10,4,6
7,Jonathan Taylor,RB,IND,4,10,7
8,Christian McCaffrey,RB,SF,7,7,8
9,Jaxon Smith-Njigba,WR,SEA,8,8,9
10,Amon-Ra St. Brown,WR,DET,9,9,10
11,Saquon Barkley,RB,PHI,12,15,11
12,Nico Collins,WR,HOU,17,11,12
13,Drake London,WR,ATL,16,13,13
14,CeeDee Lamb,WR,DAL,11,17,14
15,Chase Brown,RB,CIN,15,18,15
16,Justin Jefferson,WR,MIN,13,20,16
17,Trey McBride,TE,ARI,24,14,17
18,A.J. Brown,WR,NE,20,16,18
19,De'Von Achane,RB,MIA,28,12,19
20,Brock Bowers,TE,LV,14,24,20
21,Jeremiyah Love,RB,ARI,23,19,21
22,Derrick Henry,RB,BAL,19,23,22
23,George Pickens,WR,DAL,22,25,23
24,Kenneth Walker III,RB,KC,18,31,24
25,Colston Loveland,TE,CHI,25,25,25
26,Malik Nabers,WR,NYG,30,22,26
27,Josh Allen,QB,BUF,27,27,27
28,Omarion Hampton,RB,LAC,26,28,28
29,DeVonta Smith,WR,PHI,25,38,29
30,Zay Flowers,WR,BAL,38,27,30
31,Jaylen Waddle,WR,DEN,39,30,31
32,Tucker Kraft,TE,GB,34,34,32
33,Chris Olave,WR,NO,27,41,33
34,Javonte Williams,RB,DAL,46,26,34
35,Tee Higgins,WR,CIN,35,35,35
36,Breece Hall,RB,NYJ,31,40,36
37,Drake Maye,QB,NE,42,35,37
38,Kyren Williams,RB,LAR,34,43,38
39,Ladd McConkey,WR,LAC,47,32,39
40,Travis Etienne Jr.,RB,NO,43,37,40
41,Rashee Rice,WR,KC,32,48,41
42,D'Andre Swift,RB,CHI,49,34,42
43,Lamar Jackson,QB,BAL,35,50,43
44,Josh Jacobs,RB,GB,37,46,44
45,Luther Burden III,WR,CHI,48,39,45
46,Tyler Warren,TE,IND,45,45,46
47,Emeka Egbuka,WR,TB,45,45,47
48,Terry McLaurin,WR,WAS,41,51,48
49,Cam Skattebo,RB,NYG,40,58,49
50,Tetairoa McMillan,WR,CAR,51,47,50
51,Joe Burrow,QB,CIN,62,42,51
52,Jayden Daniels,QB,WAS,50,56,52
53,David Montgomery,RB,HOU,55,53,53
54,Garrett Wilson,WR,NYJ,54,54,54
55,Jameson Williams,WR,DET,56,56,55
56,TreVeyon Henderson,RB,NE,64,49,56
57,Christian Watson,WR,GB,57,60,57
58,George Kittle,TE,SF,69,53,58
59,Jaylen Warren,RB,PIT,60,62,59
60,Quinshon Judkins,RB,CLE,53,68,60
61,Harold Fannin Jr.,TE,CLE,61,61,61
62,Jalen Hurts,QB,PHI,56,68,62
63,Bucky Irving,RB,TB,70,55,63
64,Sam LaPorta,TE,DET,53,69,64
65,Chuba Hubbard,RB,CAR,66,60,65
66,Bhayshul Tuten,RB,JAX,58,70,66
67,Rome Odunze,WR,CHI,60,72,67
68,Jadarian Price,RB,SEA,68,64,68
69,Jordyn Tyson,WR,NO,66,69,69
70,Rhamondre Stevenson,RB,NE,62,74,70
71,Caleb Williams,QB,CHI,80,62,71
72,Kenny Gainwell,RB,TB,74,66,72
73,Jaxson Dart,QB,NYG,68,74,73
74,Brian Thomas Jr.,WR,JAX,81,66,74
75,Davante Adams,WR,LAR,69,78,75
76,Tony Pollard,RB,TEN,72,76,76
77,Carnell Tate,WR,TEN,63,87,77
78,Marvin Harrison Jr.,WR,ARI,78,75,78
79,Justin Herbert,QB,LAC,74,80,79
80,Rico Dowdle,RB,PIT,76,82,80
81,Parker Washington,WR,JAX,75,84,81
82,RJ Harvey,RB,DEN,84,78,82
83,Blake Corum,RB,LAR,80,86,83
84,Kyle Pitts Sr.,TE,ATL,80,87,84
85,Mike Evans,WR,SF,72,96,85
86,Jordan Mason,RB,MIN,96,72,86
87,Kyle Monangai,RB,CHI,82,88,87
88,Jakobi Meyers,WR,JAX,114,57,88
89,Trevor Lawrence,QB,JAX,86,86,89
90,Rachaad White,RB,WAS,78,96,90
91,Josh Downs,WR,IND,93,81,91
92,Jacory Croskey-Merritt,RB,WAS,92,84,92
93,Chris Rodriguez Jr.,RB,JAX,90,90,93
94,Alec Pierce,WR,IND,90,90,94
95,Zach Charbonnet,RB,SEA,102,80,95
96,Aaron Jones Sr.,RB,MIN,88,94,96
97,DJ Moore,WR,BUF,84,99,97
98,Dak Prescott,QB,DAL,92,92,98
99,Michael Wilson,WR,ARI,126,63,99
100,Isaiah Likely,TE,NYG,115,80,100
101,Tyrone Tracy Jr.,RB,NYG,94,106,101
102,Courtland Sutton,WR,DEN,108,93,102
103,Patrick Mahomes II,QB,KC,104,98,103
104,Tyler Allgeier,RB,ARI,110,92,104
105,Isiah Pacheco,RB,DET,108,98,105
106,Jonathon Brooks,RB,CAR,86,120,106
107,Quentin Johnston,WR,LAC,87,120,107
108,Brock Purdy,QB,SF,98,110,108
109,J.K. Dobbins,RB,DEN,98,112,109
110,Wan'Dale Robinson,WR,TEN,99,114,110
111,Woody Marks,RB,HOU,106,110,111
112,Bo Nix,QB,DEN,110,104,112
113,Jake Ferguson,TE,DAL,129,94,113
114,Jayden Reed,WR,GB,111,108,114
115,Mark Andrews,TE,BAL,122,101,115
116,Tyjae Spears,RB,TEN,104,118,116
117,DK Metcalf,WR,PIT,120,102,117
118,Nick Singleton,RB,TEN,124,100,118
119,Dallas Goedert,TE,PHI,101,129,119
120,Brian Robinson Jr.,RB,ATL,112,122,120
121,Makai Lemon,WR,PHI,117,117,121
122,Michael Pittman Jr.,WR,PIT,102,132,122
123,Travis Kelce,TE,KC,94,143,123
124,Tank Bigsby,RB,PHI,114,126,124
125,Jordan Addison,WR,MIN,105,135,125
126,Keaton Mitchell,RB,LAC,118,124,126
127,Matthew Stafford,QB,LAR,128,116,127
128,Kimani Vidal,RB,LAC,140,104,128
129,Jared Goff,QB,DET,122,122,129
130,Chig Okonkwo,TE,WAS,136,108,130
131,James Conner,RB,ARI,144,102,131
132,Jonah Coleman,RB,DEN,116,130,132
133,Chris Godwin Jr.,WR,TB,96,150,133
134,Kyler Murray,QB,MIN,116,128,134
135,Dalton Kincaid,TE,BUF,87,157,135
136,Dylan Sampson,RB,CLE,100,148,136
137,Sean Tucker,RB,TB,120,132,137
138,KC Concepcion,WR,CLE,129,126,138
139,Jaylen Wright,RB,MIA,148,108,139
140,Matthew Golden,WR,GB,153,105,140
141,Brenton Strange,TE,JAX,108,150,141
142,Alvin Kamara,RB,NO,126,136,142
143,Khalil Shakir,WR,BUF,150,111,143
144,Romeo Doubs,WR,NE,132,129,144
145,Ray Davis,RB,BUF,136,134,145
